Comment,Designator,Footprint,LCSC Part #,MPN,Qty,Unit $,Ext $,JLC
100nF,"C2,C5,C8",C_1206_3216Metric,C170182,1206N104J500CT,3,0.1870,0.561,extended
470nF,"C3,C6,C9",C_1206_3216Metric,C277483,CC1206KKX7R9BB474,3,0.0320,0.096,extended
2.2nF,"C1,C4,C7,C25",C_0805_2012Metric,C28260,CL21C222JBFNNNE,4,0.0280,0.112,basic
10uF,"C10,C12,C13,C14,C15",C_0805_2012Metric,C15850,CL21A106KAYNNNE,5,0.0840,0.420,basic
100nF,"C11,C16,C17,C18,C19,C20,C21,C22,C23,C24",C_0805_2012Metric,C49678,CC0805KRX7R9BB104,10,0.0190,0.190,basic
yellow,D1,LED_0805_2012Metric,C2296,KT-0805Y,1,0.0152,0.015,basic
green,D2,LED_0805_2012Metric,C2297,KT-0805G,1,0.0160,0.016,basic
white,D3,LED_0805_2012Metric,C34499,KT-0805W,1,0.0198,0.020,basic
RGB,D4,LED_RGB_PLCC4_3.5x2.8mm,C2962096,MHPC3528CRGBCT,1,0.0547,0.055,extended
500mA,F1,Fuse_1812_4532Metric,C17313,MF-MSMF050-2,1,0.0680,0.068,extended
USB-C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,TYPE-C-31-M-12,1,0.1860,0.186,extended
BNC,"J2,J3,J4",BNC_KYWE_RightAngle,C41416668,BNC-KYWE-295-W4-N,3,1.5490,4.647,extended
35.7k,R3,R_0805_2012Metric,C843989,CRCW080535K7FKEA,1,0.0150,0.015,extended
374k,R7,R_0805_2012Metric,C2933427,FRC0805F3743TS,1,0.0040,0.004,extended
2.2k,R13,R_0805_2012Metric,C17520,0805W8F2201T5E,1,0.0027,0.003,basic
1.5k,R16,R_0805_2012Metric,C4310,0805W8F1501T5E,1,0.0015,0.002,basic
6.8k,R17,R_0805_2012Metric,C17772,0805W8F6801T5E,1,0.0042,0.004,basic
33k,R20,R_0805_2012Metric,C17633,0805W8F3302T5E,1,0.0028,0.003,basic
100k,"R1,R2",R_0805_2012Metric,C149504,0805W8F1003T5E,2,0.0060,0.012,basic
1M,"R5,R21",R_0805_2012Metric,C17514,0805W8F1004T5E,2,0.0050,0.010,basic
5.1k,"R11,R12",R_0805_2012Metric,C27834,0805W8F5101T5E,2,0.0060,0.012,basic
10k,"R4,R6,R15",R_0805_2012Metric,C17414,0805W8F1002T5E,3,0.0040,0.012,basic
100R,"R8,R9,R10",R_0805_2012Metric,C17408,0805W8F1000T5E,3,0.0040,0.012,basic
4.7k,"R14,R18,R19",R_0805_2012Metric,C17673,0805W8F4701T5E,3,0.0050,0.015,basic
SW_DIP_x06,SW1,SW_DIP_SPSTx06_KingTek_DSIC06_P2.54mm,C54952,DSIC06LSGET,1,0.5710,0.571,extended
A0515S-2WR2,U5,DCDC_SIP_A05xxS_1W_2W,C19272710,A0515S-2WR2,1,1.5950,1.595,extended
78L12,U6,SOT-89-3,C8615,CJ78L12,1,0.0990,0.099,extended
79L12,U7,SOT-89-3,C8626,CJ79L12,1,0.1180,0.118,extended
LF412,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,C15322,LF412CDR,2,0.9060,1.812,extended
MPY634,"U3,U4",SOIC-16W_7.5x10.3mm_P1.27mm,C1523457,MPY634KU/1K,2,30.5860,61.172,extended
