Comment,Designator,Footprint,LCSC Part #
100nF,"C2,C5,C8",C_1206_3216Metric,C170182
470nF,"C3,C6,C9",C_1206_3216Metric,C277483
2.2nF,"C1,C4,C7,C25",C_0805_2012Metric,C28260
10uF,"C10,C12,C13,C14,C15",C_0805_2012Metric,C15850
100nF,"C11,C16,C17,C18,C19,C20,C21,C22,C23,C24",C_0805_2012Metric,C49678
yellow,D1,LED_0805_2012Metric,C2296
green,D2,LED_0805_2012Metric,C2297
white,D3,LED_0805_2012Metric,C34499
RGB,D4,LED_RGB_PLCC4_3.5x2.8mm,C2962096
500mA,F1,Fuse_1812_4532Metric,C17313
USB-C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
BNC,"J2,J3,J4",BNC_KYWE_RightAngle,C41416668
35.7k,R3,R_0805_2012Metric,C843989
374k,R7,R_0805_2012Metric,C2933427
2.2k,R13,R_0805_2012Metric,C17520
1.5k,R16,R_0805_2012Metric,C4310
6.8k,R17,R_0805_2012Metric,C17772
33k,R20,R_0805_2012Metric,C17633
100k,"R1,R2",R_0805_2012Metric,C149504
1M,"R5,R21",R_0805_2012Metric,C17514
5.1k,"R11,R12",R_0805_2012Metric,C27834
10k,"R4,R6,R15",R_0805_2012Metric,C17414
100R,"R8,R9,R10",R_0805_2012Metric,C17408
4.7k,"R14,R18,R19",R_0805_2012Metric,C17673
SW_DIP_x06,SW1,SW_DIP_SPSTx06_KingTek_DSIC06_P2.54mm,C54952
A0515S-2WR2,U5,DCDC_SIP_A05xxS_1W_2W,C19272710
78L12,U6,SOT-89-3,C8615
79L12,U7,SOT-89-3,C8626
LF412,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,C15322
MPY634,"U3,U4",SOIC-16W_7.5x10.3mm_P1.27mm,C1523457
